The following lines contain 2177 text messages, one per line. Each text message can be classified as spam or ham (i.e., not spam).

You will be asked to answer questions about the aggregate label statistics across all 2177 examples in this dataset. Do not try to guess, estimate, or approximate the result. Calculate the exact answer given these datapoints.

Date: Apr 01, 2025 || User: 23965 || Instance: Compliments to you. Was away from the system. How your side. 
Date: Dec 21, 2024 || User: 78157 || Instance: Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, being 'SIMPLE' is very difficult.. Gud nte.:- 
Date: Mar 01, 2025 || User: 70806 || Instance: At 4. Let's go to bill millers 
Date: Jul 27, 2024 || User: 81449 || Instance: Wishing you and your family Merry "X" mas and HAPPY NEW Year in advance.. 
Date: May 25, 2022 || User: 22308 || Instance: Hey company elama po mudyadhu. 
Date: Jul 28, 2022 || User: 40398 || Instance: WINNER! As a valued network customer you hvae been selected to receive a £900 reward! To collect call 09061701444. Valid 24 hours only. ACL03530150PM 
Date: Apr 29, 2024 || User: 62638 || Instance: Dude while were makin those weirdy brownies my sister made awesome cookies. I took pics. 
Date: Jan 26, 2025 || User: 52168 || Instance: Got what it takes 2 take part in the WRC Rally in Oz? U can with Lucozade Energy! Text RALLY LE to 61200 (25p), see packs or lucozade.co.uk/wrc & itcould be u! 
Date: Jan 08, 2023 || User: 59242 || Instance: PRIVATE! Your 2003 Account Statement for 07808 XXXXXX shows 800 un-redeemed S. I. M. points. Call 08719899217 Identifier Code: 41685 Expires 07/11/04 
Date: Jun 01, 2025 || User: 30149 || Instance: Just now saw your message.it k da:) 
Date: Dec 16, 2023 || User: 67277 || Instance: Wait, do you know if wesleys in town? I bet she does hella drugs! 
Date: Oct 01, 2022 || User: 42736 || Instance: Hope you are feeling great. Pls fill me in. Abiola 
Date: Jan 25, 2023 || User: 31306 || Instance: * You gonna ring this weekend or wot? 
Date: Apr 06, 2023 || User: 51846 || Instance: HELLOGORGEOUS, HOWS U? MY FONE WAS ON CHARGE LST NITW WEN U TEXD ME. HOPEU AD A NICE WKEND AS IM SURE U DID LOOKIN 4WARD 2 C-IN U 2MRW LUV JAZ 
Date: Sep 25, 2022 || User: 73737 || Instance: Our dating service has been asked 2 contact U by someone shy! CALL 09058091870 NOW all will be revealed. POBox84, M26 3UZ 150p 
Date: May 07, 2023 || User: 18596 || Instance: Nope... Juz off from work... 
Date: Nov 16, 2022 || User: 25492 || Instance: They said if its gonna snow, it will start around 8 or 9 pm tonite! They are predicting an inch of accumulation. 
Date: Jan 29, 2023 || User: 85830 || Instance: Urgent! Please call 09061743810 from landline. Your ABTA complimentary 4* Tenerife Holiday or #5000 cash await collection SAE T&Cs Box 326 CW25WX 150 ppm 
Date: Apr 28, 2025 || User: 58707 || Instance: S but not able to sleep. 
Date: Dec 09, 2022 || User: 48472 || Instance: This message is free. Welcome to the new & improved Sex & Dogging club! To unsubscribe from this service reply STOP. msgs@150p 18+only 
Date: Feb 13, 2025 || User: 25640 || Instance: Where is that one day training:-) 
Date: Feb 20, 2022 || User: 14228 || Instance: Thanx 4 sending me home... 
Date: May 31, 2023 || User: 84831 || Instance: 10 min later k... 
Date: Jun 21, 2025 || User: 66036 || Instance: Thank you. And by the way, I just lost. 
Date: Oct 15, 2024 || User: 81487 || Instance: Somebody should go to andros and steal ice 
Date: Feb 28, 2022 || User: 33022 || Instance: Good day to You too.Pray for me.Remove the teeth as its painful maintaining other stuff. 
